epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2447.63,0.9067,9.91401,0.49937,0.30187,0.09039,0.06842,0.0363,0.72771,1.13018,0.37208,0.000185282,0.000185282,0.000185282
2,5561.69,0.59825,0.87245,0.25536,0.28169,0.16799,0.10548,0.0535,0.65629,1.07569,0.29976,0.000347684,0.000347684,0.000347684
3,8003.56,0.54548,0.82134,0.22796,0.3642,0.19182,0.12233,0.06117,0.6124,1.04455,0.28216,0.000477322,0.000477322,0.000477322
4,10444.3,0.52732,0.78463,0.21595,0.38815,0.21508,0.15921,0.07839,0.59989,1.02229,0.26509,0.000445912,0.000445912,0.000445912
5,12888.6,0.51325,0.78214,0.20753,0.34914,0.24169,0.15886,0.08092,0.58499,0.95345,0.26169,0.000409216,0.000409216,0.000409216
6,15314.2,0.40506,0.61019,0.16586,0.34852,0.24478,0.20118,0.10196,0.58243,0.90935,0.25941,0.00037252,0.00037252,0.00037252
7,17738.6,0.38857,0.59293,0.15989,0.27662,0.25728,0.20444,0.10583,0.57136,0.8743,0.25243,0.000335824,0.000335824,0.000335824
8,20169.8,0.38162,0.56929,0.15561,0.37275,0.24723,0.20641,0.10494,0.56027,0.93756,0.2454,0.000299128,0.000299128,0.000299128
9,22592,0.37179,0.55,0.15199,0.36656,0.28756,0.22628,0.11225,0.56917,0.91606,0.25313,0.000262432,0.000262432,0.000262432
10,25015.2,0.36811,0.54326,0.14945,0.32624,0.2876,0.23657,0.11945,0.55214,0.89959,0.24392,0.000246377,0.000246377,0.000246377
11,27432.5,0.35464,0.52238,0.14297,0.32496,0.29216,0.24303,0.12264,0.56499,0.85636,0.24793,0.000211975,0.000211975,0.000211975
12,29849.5,0.34574,0.4988,0.13921,0.34168,0.28589,0.25707,0.13016,0.55357,0.85479,0.24634,0.000177573,0.000177573,0.000177573
13,32266.3,0.3401,0.49197,0.13593,0.34386,0.27594,0.25387,0.13057,0.5536,0.82516,0.24434,0.00014317,0.00014317,0.00014317
14,34761.3,0.33601,0.48495,0.13453,0.35797,0.28624,0.26041,0.13231,0.56182,0.81561,0.24462,0.000108767,0.000108767,0.000108767
15,37180.8,0.32796,0.45696,0.1293,0.36582,0.30264,0.27505,0.14003,0.55864,0.82145,0.24517,7.4365e-05,7.4365e-05,7.4365e-05
16,37918.6,0.32916,0.46717,0.13136,0.35661,0.32493,0.27864,0.14369,0.55896,0.81134,0.24797,3.99625e-05,3.99625e-05,3.99625e-05
